'lasiciliait', 0, '#Regionali , #Berlusconi rinuncia alla sfida con #Grillo , ma in #Sicilia arriva #Renzi http:// fb.me/zDjcIqsZ', '#Regionali #Berlusconi #Grillo #Sicilia #Renzi'
'GDS_it', 1, u'#regionali , venerd\xec @matteorenzi in #Sicilia per sostenere @fabriziomicari http:// gds.it/2017/10/25/reg ionali-venerdi-renzi-in-sicilia-rush-finale-a-sostegno-di-micari_746155/?utm_medium=feed&utm_source=twitter.com&utm_campaign=Feed%3A+gds_twitter_feed \u2026 pic.twitter.com/jcF9NZVjBk', u'#regionali #Sicilia'
'diMartedi', 3, u"Fabrizio #Micari , candidato alle #RegionaliSicilia , nell'intervista ieri a #dimarted\xec @Fabrizio_Micari http://www. la7.it/dimartedi/vide o/lintervista-a-fabrizio-micari-candidato-del-pd-e-di-ap-alla-presidenza-della-regione-sicilia-25-10-2017-225231 \u2026", u'#Micari #RegionaliSicilia #dimarted'
'allenatorebis', 24, u'#RegionaliSicilia Un altro #condannato . La lista di #Musumeci \xe8 Impresentabilissima! #SceglieteIlFuturo http://www. beppegrillo.it/2017/10/un_alt ro_condannato_la_lista_di_musumeci_e_impresentabilissima.html \u2026 pic.twitter.com/t4wmK0SyME', u'#RegionaliSicilia #condannato #Musumeci #SceglieteIlFuturo'
'maximilian1971', 0, "Regionali Sicilia : altro condannato nella lista #Musumeci . Ernesto Calogero di #forzaitalia . Se Nello Musumeci vince qui in Sicilia , la prima Assemblea Regionale la faranno direttamente all' Ucciardone di Palermo pic.twitter.com/NkOmYbKIuA", '#Musumeci #forzaitalia'
'Vincent_lig', 1, '#25ottobre In #Sicilia per le elezioni regionali aumentano gli impresentabili della lista Musumeci #M5S pic.twitter.com/PfSoHPwEvl', '#25ottobre #Sicilia #M5S'
'diMartedi', 4, u'#Micari su #RegionaliSicilia : "Indebolendo noi si rischia di consegnare la Sicilia all\'approssimazione di #m5s " @Fabrizio_Micari #dimarted\xec', u'#Micari #RegionaliSicilia #m5s #dimarted'
'diMartedi', 2, u'#Micari su #RegionaliSicilia : "Abbiamo scelto di avere liste che puntano al 5%, liste forti e con personalit\xe0" @Fabrizio_Micari #dimarted\xec pic.twitter.com/LwRAO1rXLw', u'#Micari #RegionaliSicilia #dimarted'
'diMartedi', 2, u'#Micari su #RegionaliSicilia : "Quella che si gioca sulla pelle dei siciliani \xe8 una partita romana" @Fabrizio_Micari #dimarted\xec', u'#Micari #RegionaliSicilia #dimarted'
'diMartedi', 1, u'#Micari su #RegionaliSicilia : "La coalizione comprende Pd e altre forze del territorio, la soglia \xe8 30%/32%" @Fabrizio_Micari #dimarted\xec', u'#Micari #RegionaliSicilia #dimarted'
'diMartedi', 2, u'#Micari su #RegionaliSicilia : "E\' il momento in cui la Sicilia deve costruire un futuro concreto" @Fabrizio_Micari #dimarted\xec pic.twitter.com/yfQ5PKamS7', u'#Micari #RegionaliSicilia #dimarted'
'mlsSartorio', 0, u'#Meloni (FdI) \u2018candidatura #Pirozzi regionali Lazio? Per ora pensiamo #voto #Sicilia \u2019 http://www. 10notizie.it/2017/10/24/mel oni-fdi-candidatura-pirozzi-regionali-lazio-ora-pensiamo-voto-sicilia/ \u2026', u'#Meloni #Pirozzi #voto #Sicilia'
'Mi_consento', 0, 'Ripeto #diventerabellissima se ve ne andate in malora. #musumecimente #musumeci #RegionaliSicilia pic.twitter.com/pCsQP3zLJK', '#diventerabellissima #musumecimente #musumeci #RegionaliSicilia'
'marcoga', 0, u'#genovesejr che spiega come usare correttamente i fondi UE \xe8 la svolta credibile delle #RegionaliSicilia #genovese #forzaitalia #musumeci', u'#genovesejr #RegionaliSicilia #genovese #forzaitalia #musumeci'
'emanuelapatti', 2, u'La fine che far\xe0 il cdx e il csx dopo le #RegionaliSicilia . Il bus lo guida il #M5S . pic.twitter.com/VjWa5FPfUr', u'#RegionaliSicilia #M5S'
'quodphilosophus', 0, "#RegionaliSicilia , Nello #Musumeci : 'Io un po' isolato in politica transfughi' - #VIDEO http:// ow.ly/iL0r30g6imd", '#RegionaliSicilia #Musumeci #VIDEO'
'Agenzia_Ansa', 1, "#RegionaliSicilia , Nello #Musumeci : 'Io un po' isolato in politica transfughi' - #VIDEO http:// ow.ly/iL0r30g6imd", '#RegionaliSicilia #Musumeci #VIDEO'
'alepaganotwit', 0, '++ #Sicilia Regionali 2017: #Musumeci risponde a #Cancelleri ++ pic.twitter.com/W2qBvftEM1', '#Sicilia #Musumeci #Cancelleri'
'rossellavilardi', 2, 'Siamo tutti in campagna elettorale! Buon lavoro a tutti noi! #sceglieteilfuturo #regionaliSicilia #Sicilia pic.twitter.com/TAmFEYbi55', '#sceglieteilfuturo #regionaliSicilia #Sicilia'
'sole24ore', 2, u'Elezioni #regionali #Sicilia un test per riequilibrare l\u2019asse Berlusconi-Salvini. Analisi di Lina Palmerini http://www. ilsole24ore.com/art/notizie/20 17-10-23/aspettando-sicilia-test-riequilibrare-l-asse-cavaliere-salvini-222959.shtml?uuid=AEvj4ztC \u2026 pic.twitter.com/3qhlwDX7SR', u'#regionali #Sicilia'
'quodphilosophus', 0, "#RegionaliSicilia , #Cancelleri ad un Forum all'ANSA: ' #Musumeci ammicca a sinistra? Fa ridere' #M5S http:// ow.ly/LLNu30g3WL7", '#RegionaliSicilia #Cancelleri #Musumeci #M5S'
'Agenzia_Ansa', 1, "#RegionaliSicilia , #Cancelleri ad un Forum all'ANSA: ' #Musumeci ammicca a sinistra? Fa ridere' #M5S http:// ow.ly/LLNu30g3WL7", '#RegionaliSicilia #Cancelleri #Musumeci #M5S'
'Sabina1956', 13, u'.Votare #M5S \xe8 + #facile , + #semplice , + #trasparente . NO #ammucchiate . #RegionaliSicilia #CancelleriPresidente pic.twitter.com/hViDGKbjGk', u'#M5S #facile #semplice #trasparente #ammucchiate #RegionaliSicilia #CancelleriPresidente'
'mantynsky_', 1, u'Ma io mi sto fottendo dalle risate! Ahahhahahah ditemi che \xe8 tutto vero #m5s #elezionisicilia #regionali2017 #regionalisicilia #cancelleri https:// twitter.com/ciraolo110/sta tus/922450797790748672 \u2026', u'#m5s #elezionisicilia #regionali2017 #regionalisicilia #cancelleri'
'madnessOdb', 0, 'Ecco l unico vero candidato. #fiorello #staminchia #voto #sicilia #regionali http:// fb.me/63iiyW2Xi', '#fiorello #staminchia #voto #sicilia #regionali'
'NikeSkywalker', 1, 'Le prove generali del regime #Renzusconi del #governissimo le troviamo in #Sicilia alle elezioni #Regionali . Nonostante tutto #QuattroPolli pic.twitter.com/g76VCVFPPJ', '#Renzusconi #governissimo #Sicilia #Regionali #QuattroPolli'
'alepaganotwit', 0, '#Sicilia Regionali 2017: #Salvini a Palermo. Ore 18.30, domenica 29 ottobre. Astoria Palace Hotel pic.twitter.com/5QtcLJi7WW', '#Sicilia #Salvini'
'rossellavilardi', 32, u'#savethedate Anche Beppe Grillo con noi a #Palermo domenica 29Ottobre in giro per la citt\xe0! #palermoday #sceglieteilfuturo #regionaliSicilia pic.twitter.com/a8wcpLTbfS', u'#savethedate #Palermo #palermoday #sceglieteilfuturo #regionaliSicilia'
'MarioBarresi', 0, u'#regionali #sicilia #elezionisicilia #famolostrano @Musumeci_Staff @GiancarloCanc @faustorac @pdsicilia - La Sicilia http://www. lasicilia.it/news/politica/ 116043/utile-e-disgiunto-ecco-quanto-pesa-alle-regionali-il-voto-famolo-strano.html \u2026', u'#regionali #sicilia #elezionisicilia #famolostrano'
'marielSiviglia', 0, 'https:// youtu.be/K7Df7nsGuXI #regionalisicilia Intervista a #Claudio #Fava a #dimartedi pic.twitter.com/ElzOgVIdYJ', '#regionalisicilia #Claudio #Fava #dimartedi'
'NuovoSud', 0, "#Regionali in #Sicilia , online l'elenco degli scrutatori di #Siracusa http:// ow.ly/vp0M30g3XfN #23ottobre", '#Regionali #Sicilia #Siracusa #23ottobre'
'quodphilosophus', 0, "#RegionaliSicilia , #Cancelleri ad un Forum all'ANSA: ' #Musumeci ammicca a sinistra? Fa ridere' #M5S http:// ow.ly/LLNu30g3WL7", '#RegionaliSicilia #Cancelleri #Musumeci #M5S'
'Agenzia_Ansa', 4, "#RegionaliSicilia , #Cancelleri ad un Forum all'ANSA: ' #Musumeci ammicca a sinistra? Fa ridere' #M5S http:// ow.ly/LLNu30g3WL7", '#RegionaliSicilia #Cancelleri #Musumeci #M5S'
